Location,Period,Dimension,Population using safely managed sanitation services (%)
Czechia,2005,Rural,77.35
Czechia,2004,Total,84.34
Czechia,2004,Urban,87.09
Czechia,2004,Rural,76.65
Czechia,2003,Total,83.52
Czechia,2003,Urban,86.21
Czechia,2003,Rural,75.96
Czechia,2002,Total,83.52
Czechia,2002,Urban,86.21
Czechia,2002,Rural,75.96
Czechia,2001,Total,83.53
Czechia,2001,Urban,86.21
Czechia,2001,Rural,75.96
Czechia,2000,Total,83.54
Czechia,2000,Urban,86.21
Czechia,2000,Rural,75.97
Democratic People's Republic of Korea,2017,Rural,5.14
Democratic People's Republic of Korea,2016,Rural,7.07
Democratic People's Republic of Korea,2015,Rural,8.99
Democratic People's Republic of Korea,2014,Rural,10.89
Democratic People's Republic of Korea,2013,Rural,12.78
Democratic People's Republic of Korea,2012,Rural,14.66
Democratic People's Republic of Korea,2011,Rural,16.52
Democratic People's Republic of Korea,2010,Rural,18.37
Democratic People's Republic of Korea,2009,Rural,20.21
Democratic People's Republic of Korea,2008,Rural,22.03
Democratic People's Republic of Korea,2007,Rural,23.84
Democratic People's Republic of Korea,2006,Rural,23.75
Democratic People's Republic of Korea,2005,Rural,23.75
Democratic People's Republic of Korea,2004,Rural,23.75
Democratic People's Republic of Korea,2003,Rural,23.75
Democratic People's Republic of Korea,2002,Rural,23.75
Denmark,2017,Total,94.84
Denmark,2016,Total,94.84
Denmark,2015,Total,94.54
Denmark,2014,Total,94.24
Denmark,2013,Total,93.94
Denmark,2012,Total,93.64
Denmark,2011,Total,93.34
Denmark,2010,Total,93.04
Denmark,2009,Total,92.74
Denmark,2008,Total,92.45
Denmark,2007,Total,92.15
Denmark,2006,Total,92.15
Denmark,2005,Total,92.15
Denmark,2004,Total,92.15
Denmark,2003,Total,92.15
Denmark,2002,Total,92.15
Denmark,2001,Total,92.15
Denmark,2000,Total,92.15
Djibouti,2017,Total,36.44
Djibouti,2017,Urban,41.48
Djibouti,2017,Rural,18.93
Djibouti,2016,Total,35.64
Djibouti,2016,Urban,40.64
Djibouti,2016,Rural,18.36
Djibouti,2015,Total,34.84
Djibouti,2015,Urban,39.81
Djibouti,2015,Rural,17.8
Djibouti,2014,Total,34.03
Djibouti,2014,Urban,38.96
Djibouti,2014,Rural,17.23
Djibouti,2013,Total,33.23
Djibouti,2013,Urban,38.12
Djibouti,2013,Rural,16.66
Djibouti,2012,Total,32.43
Djibouti,2012,Urban,37.27
Djibouti,2012,Rural,16.1
Djibouti,2011,Total,31.62
Djibouti,2011,Urban,36.41
Djibouti,2011,Rural,15.53
Djibouti,2010,Total,30.82
Djibouti,2010,Urban,35.55
Djibouti,2010,Rural,14.97
Djibouti,2009,Total,30.02
Djibouti,2009,Urban,34.69
Djibouti,2009,Rural,14.41
Djibouti,2008,Total,29.21
Djibouti,2008,Urban,33.83
Djibouti,2008,Rural,13.85
Djibouti,2007,Total,28.4
Djibouti,2007,Urban,32.96
Djibouti,2007,Rural,13.29
Djibouti,2006,Total,27.59
Djibouti,2006,Urban,32.08
Djibouti,2006,Rural,12.73
Djibouti,2005,Total,26.78
Djibouti,2005,Urban,31.2
Djibouti,2005,Rural,12.18
Djibouti,2004,Total,25.97
Djibouti,2004,Urban,30.32
Djibouti,2004,Rural,11.62
Djibouti,2003,Total,25.96
Djibouti,2003,Urban,30.32
Djibouti,2003,Rural,11.62
Djibouti,2002,Total,25.95
Djibouti,2002,Urban,30.32
Djibouti,2002,Rural,11.62
Djibouti,2001,Total,25.94
Djibouti,2001,Urban,30.32
Djibouti,2001,Rural,11.62
Djibouti,2000,Total,25.93
Djibouti,2000,Urban,30.32
Djibouti,2000,Rural,11.62
Ecuador,2017,Total,42.01
Ecuador,2017,Urban,33.37
Ecuador,2017,Rural,57.16
Ecuador,2016,Total,42.18
Ecuador,2016,Urban,34.05
Ecuador,2016,Rural,56.35
Ecuador,2015,Total,42.18
Ecuador,2015,Urban,34.46
Ecuador,2015,Rural,55.54
Ecuador,2014,Total,42.14
Ecuador,2014,Urban,34.83
Ecuador,2014,Rural,54.73
Ecuador,2013,Total,42.1
Ecuador,2013,Urban,35.2
Ecuador,2013,Rural,53.92
Ecuador,2012,Total,42.06
Ecuador,2012,Urban,35.56
Ecuador,2012,Rural,53.11
Ecuador,2011,Total,42.0
Ecuador,2011,Urban,35.92
Ecuador,2011,Rural,52.3
Ecuador,2010,Total,41.95
Ecuador,2010,Urban,36.28
Ecuador,2010,Rural,51.48
Ecuador,2009,Total,41.9
Ecuador,2009,Urban,36.63
Ecuador,2009,Rural,50.67
Ecuador,2008,Total,41.83
Ecuador,2008,Urban,36.98
Ecuador,2008,Rural,49.85
Ecuador,2007,Total,41.76
Ecuador,2007,Urban,37.33
Ecuador,2007,Rural,49.03
Ecuador,2006,Total,41.69
Ecuador,2006,Urban,37.68
Ecuador,2006,Rural,48.21
Ecuador,2005,Total,41.61
Ecuador,2005,Urban,38.02
Ecuador,2005,Rural,47.39
Ecuador,2004,Total,41.52
Ecuador,2004,Urban,38.36
Ecuador,2004,Rural,46.57
Ecuador,2003,Total,41.49
Ecuador,2003,Urban,38.82
Ecuador,2003,Rural,45.71
Ecuador,2002,Total,41.45
Ecuador,2002,Urban,39.29
Ecuador,2002,Rural,44.85
Ecuador,2001,Total,41.42
Ecuador,2001,Urban,39.76
Ecuador,2001,Rural,43.99
Ecuador,2000,Total,41.38
Ecuador,2000,Urban,40.23
Ecuador,2000,Rural,43.13
Egypt,2017,Total,60.74
Egypt,2017,Urban,70.71
Egypt,2016,Total,60.16
Egypt,2016,Urban,70.04
Egypt,2015,Total,59.59
Egypt,2015,Urban,69.38
Egypt,2014,Total,59.02
Egypt,2014,Urban,68.72
Egypt,2013,Total,58.55
Egypt,2013,Urban,68.29
Egypt,2012,Total,58.08
Egypt,2012,Urban,67.86
Egypt,2011,Total,57.61
Egypt,2011,Urban,67.43
Egypt,2010,Total,57.13
Egypt,2010,Urban,67.0
Egypt,2009,Total,56.66
Egypt,2009,Urban,66.58
Egypt,2008,Total,56.18
Egypt,2008,Urban,66.15
Egypt,2007,Total,55.7
Egypt,2007,Urban,65.73
Egypt,2006,Total,55.23
Egypt,2006,Urban,65.31
Egypt,2005,Total,54.74
Egypt,2005,Urban,64.89
Egypt,2004,Total,54.25
Egypt,2004,Urban,64.47
Egypt,2003,Total,53.77
Egypt,2003,Urban,64.05
Egypt,2002,Total,53.94
Egypt,2002,Urban,64.15
Egypt,2001,Total,54.1
Egypt,2001,Urban,64.26
Egypt,2000,Total,54.27
Egypt,2000,Urban,64.36
Estonia,2017,Total,97.36
Estonia,2017,Urban,98.71
Estonia,2017,Rural,94.39
Estonia,2016,Total,97.35
Estonia,2016,Urban,98.72
Estonia,2016,Rural,94.36
Estonia,2015,Total,97.11
Estonia,2015,Urban,98.44
Estonia,2015,Rural,94.24
Estonia,2014,Total,96.78
Estonia,2014,Urban,98.02
Estonia,2014,Rural,94.12
Estonia,2013,Total,96.51
Estonia,2013,Urban,97.66
Estonia,2013,Rural,94.06
Estonia,2012,Total,96.36
Estonia,2012,Urban,97.47
Estonia,2012,Rural,93.99
Estonia,2011,Total,96.32
Estonia,2011,Urban,97.44
Estonia,2011,Rural,93.93
Estonia,2010,Total,96.28
Estonia,2010,Urban,97.41
Estonia,2010,Rural,93.86
Estonia,2009,Total,96.24
Estonia,2009,Urban,97.38
Estonia,2009,Rural,93.8
Estonia,2008,Total,96.21
Estonia,2008,Urban,97.35
Estonia,2008,Rural,93.74
Estonia,2007,Total,96.17
Estonia,2007,Urban,97.32
Estonia,2007,Rural,93.67
Estonia,2006,Total,96.14
Estonia,2006,Urban,97.3
Estonia,2006,Rural,93.61
Estonia,2005,Total,96.11
Estonia,2005,Urban,97.27
Estonia,2005,Rural,93.55
Estonia,2004,Total,96.07
Estonia,2004,Urban,97.24
Estonia,2004,Rural,93.49
Estonia,2003,Total,96.04
Estonia,2003,Urban,97.21
Estonia,2003,Rural,93.43
Estonia,2002,Total,96.09
Estonia,2002,Urban,97.26
Estonia,2002,Rural,93.45
Estonia,2001,Total,96.09
Estonia,2001,Urban,97.28
Estonia,2001,Rural,93.43
Estonia,2000,Total,96.1
Estonia,2000,Urban,97.29
Estonia,2000,Rural,93.4
Ethiopia,2017,Rural,3.81
Ethiopia,2016,Rural,3.68
Ethiopia,2015,Rural,3.54
Ethiopia,2014,Rural,3.4
Ethiopia,2013,Rural,3.25
Ethiopia,2012,Rural,3.1
Ethiopia,2011,Rural,2.95
Ethiopia,2010,Rural,2.79
Ethiopia,2009,Rural,2.63
Ethiopia,2008,Rural,2.47
Ethiopia,2007,Rural,2.3
Ethiopia,2006,Rural,2.13
Ethiopia,2005,Rural,1.96
Ethiopia,2004,Rural,1.78
Ethiopia,2003,Rural,1.6
Ethiopia,2002,Rural,1.41
Ethiopia,2001,Rural,1.21
Ethiopia,2000,Rural,1.01
Finland,2017,Total,99.21
Finland,2017,Urban,99.27
Finland,2016,Total,99.19
Finland,2016,Urban,99.25
Finland,2015,Total,99.18
Finland,2015,Urban,99.22
Finland,2014,Total,99.17
Finland,2014,Urban,99.2
Finland,2013,Total,99.16
Finland,2013,Urban,99.18
Finland,2012,Total,99.14
Finland,2012,Urban,99.16
Finland,2011,Total,99.13
Finland,2011,Urban,99.14
Finland,2010,Total,99.12
Finland,2010,Urban,99.12
Finland,2009,Total,99.11
Finland,2009,Urban,99.1
Finland,2008,Total,99.1
Finland,2008,Urban,99.08
Finland,2007,Total,99.09
Finland,2007,Urban,99.06
Finland,2006,Total,99.08
Finland,2006,Urban,99.04
Finland,2005,Total,99.07
Finland,2005,Urban,99.01
Finland,2004,Total,99.06
Finland,2004,Urban,98.99
Finland,2003,Total,99.05
Finland,2003,Urban,98.97
Finland,2002,Total,99.04
Finland,2002,Urban,98.95
Finland,2001,Total,99.02
Finland,2001,Urban,98.93
Finland,2000,Total,99.01
Finland,2000,Urban,98.91
France,2017,Total,88.37
France,2016,Total,88.37
France,2015,Total,88.45
France,2014,Total,88.53
France,2013,Total,88.61
France,2012,Total,88.69
France,2011,Total,88.77
France,2010,Total,88.85
France,2009,Total,88.93
France,2008,Total,89.01
France,2007,Total,89.08
France,2006,Total,89.16
France,2005,Total,89.24
France,2004,Total,89.32
France,2003,Total,89.4
France,2002,Total,89.48
France,2001,Total,89.47
France,2000,Total,89.46
Georgia,2017,Total,27.17
Georgia,2017,Urban,15.87
Georgia,2016,Total,26.8
Georgia,2016,Urban,15.12
Georgia,2015,Total,26.44
Georgia,2015,Urban,14.38
Georgia,2014,Total,26.08
Georgia,2014,Urban,13.65
Georgia,2013,Total,25.72
Georgia,2013,Urban,12.91
Georgia,2012,Total,25.35
Georgia,2012,Urban,12.17
Georgia,2011,Total,24.99
Georgia,2011,Urban,11.44
Georgia,2010,Total,24.63
Georgia,2010,Urban,10.7
Georgia,2009,Total,24.28
Georgia,2009,Urban,9.97
Georgia,2008,Total,23.92
Georgia,2008,Urban,9.24
Georgia,2007,Total,23.56
Georgia,2007,Urban,8.5
Georgia,2006,Total,23.21
Georgia,2006,Urban,7.77
Georgia,2005,Total,22.85
Georgia,2005,Urban,7.05
Georgia,2004,Total,22.5
Georgia,2004,Urban,6.32
Georgia,2003,Total,22.14
Georgia,2003,Urban,5.59
Georgia,2002,Total,22.02
Georgia,2002,Urban,5.13
Georgia,2001,Total,22.14
Georgia,2001,Urban,5.11
Georgia,2000,Total,22.11
Georgia,2000,Urban,5.1
Germany,2017,Total,97.23
Germany,2017,Urban,98.85
Germany,2017,Rural,91.75
Germany,2016,Total,97.23
Germany,2016,Urban,98.85
Germany,2016,Rural,91.75
Germany,2015,Total,97.23
Germany,2015,Urban,98.85
Germany,2015,Rural,91.75
Germany,2014,Total,97.09
Germany,2014,Urban,98.71
Germany,2014,Rural,91.63
Germany,2013,Total,96.96
Germany,2013,Urban,98.57
Germany,2013,Rural,91.51
Germany,2012,Total,96.82
Germany,2012,Urban,98.43
Germany,2012,Rural,91.38
Germany,2011,Total,96.69
Germany,2011,Urban,98.3
Germany,2011,Rural,91.26
Germany,2010,Total,96.54
Germany,2010,Urban,98.16
Germany,2010,Rural,91.14
Germany,2009,Total,96.39
Germany,2009,Urban,98.02
Germany,2009,Rural,91.02
Germany,2008,Total,96.25
Germany,2008,Urban,97.88
Germany,2008,Rural,90.89
Germany,2007,Total,96.1
Germany,2007,Urban,97.75
Germany,2007,Rural,90.77
Germany,2006,Total,95.95
Germany,2006,Urban,97.61
Germany,2006,Rural,90.65
Germany,2005,Total,95.8
Germany,2005,Urban,97.47
Germany,2005,Rural,90.52
Germany,2004,Total,95.65
Germany,2004,Urban,97.33
Germany,2004,Rural,90.4
Germany,2003,Total,95.51
Germany,2003,Urban,97.2
Germany,2003,Rural,90.28
Germany,2002,Total,95.49
Germany,2002,Urban,97.2
Germany,2002,Rural,90.28
Germany,2001,Total,95.48
Germany,2001,Urban,97.2
Germany,2001,Rural,90.28
Germany,2000,Total,95.46
Germany,2000,Urban,97.2
Germany,2000,Rural,90.28
Greece,2017,Total,90.39
Greece,2017,Urban,96.64
Greece,2016,Total,89.49
Greece,2016,Urban,95.84
Greece,2015,Total,88.59
Greece,2015,Urban,95.03
Greece,2014,Total,87.69
Greece,2014,Urban,94.23
Greece,2013,Total,86.63
Greece,2013,Urban,93.25
Greece,2012,Total,85.7
Greece,2012,Urban,92.44
Greece,2011,Total,84.76
Greece,2011,Urban,91.64
Greece,2010,Total,83.97
Greece,2010,Urban,90.84
Greece,2009,Total,83.19
Greece,2009,Urban,90.04
Greece,2008,Total,82.41
Greece,2008,Urban,89.24
Greece,2007,Total,81.63
Greece,2007,Urban,88.43
Greece,2006,Total,80.85
Greece,2006,Urban,87.61
Greece,2005,Total,79.89
Greece,2005,Urban,86.78
Greece,2004,Total,79.18
Greece,2004,Urban,85.95
Greece,2003,Total,78.46
Greece,2003,Urban,85.12
Greece,2002,Total,77.71
Greece,2002,Urban,84.29
Greece,2001,Total,76.93
Greece,2001,Urban,83.46
Greece,2000,Total,76.21
Greece,2000,Urban,82.63
Honduras,2017,Urban,34.52
Honduras,2016,Urban,34.48
Honduras,2015,Urban,34.44
Honduras,2014,Urban,34.36
Honduras,2013,Urban,34.27
Honduras,2012,Urban,34.18
Honduras,2011,Urban,34.1
Honduras,2010,Urban,34.01
Honduras,2009,Urban,33.93
Honduras,2008,Urban,33.84
Honduras,2007,Urban,33.75
Honduras,2006,Urban,33.67
Honduras,2005,Urban,33.58
Honduras,2004,Urban,33.5
Honduras,2003,Urban,33.29
Honduras,2002,Urban,33.07
Honduras,2001,Urban,32.86
Honduras,2000,Urban,32.65
Hungary,2017,Total,95.68
Hungary,2017,Urban,94.66
Hungary,2017,Rural,98.17
Hungary,2016,Total,95.72
Hungary,2016,Urban,94.71
Hungary,2016,Rural,98.18
Hungary,2015,Total,95.76
Hungary,2015,Urban,94.75
Hungary,2015,Rural,98.19
Hungary,2014,Total,95.81
Hungary,2014,Urban,94.8
Hungary,2014,Rural,98.19
Hungary,2013,Total,95.85
Hungary,2013,Urban,94.84
Hungary,2013,Rural,98.2
Hungary,2012,Total,95.89
Hungary,2012,Urban,94.89
Hungary,2012,Rural,98.2
Hungary,2011,Total,95.94
Hungary,2011,Urban,94.93
Hungary,2011,Rural,98.21
Hungary,2010,Total,95.98
Hungary,2010,Urban,94.97
Hungary,2010,Rural,98.22
Hungary,2009,Total,96.03
Hungary,2009,Urban,95.02
Hungary,2009,Rural,98.22
Hungary,2008,Total,96.08
Hungary,2008,Urban,95.06
Hungary,2008,Rural,98.23
Hungary,2007,Total,96.13
Hungary,2007,Urban,95.11
Hungary,2007,Rural,98.24
Hungary,2006,Total,96.18
Hungary,2006,Urban,95.15
Hungary,2006,Rural,98.24
Hungary,2005,Total,96.22
Hungary,2005,Urban,95.2
Hungary,2005,Rural,98.25
Hungary,2004,Total,96.27
Hungary,2004,Urban,95.24
Hungary,2004,Rural,98.26
Hungary,2003,Total,96.31
Hungary,2003,Urban,95.29
Hungary,2003,Rural,98.26
Hungary,2002,Total,96.36
Hungary,2002,Urban,95.33
Hungary,2002,Rural,98.27
Hungary,2001,Total,96.4
Hungary,2001,Urban,95.37
Hungary,2001,Rural,98.27
Hungary,2000,Total,96.43
Hungary,2000,Urban,95.42
Hungary,2000,Rural,98.28
Iceland,2017,Total,81.76
Iceland,2016,Total,79.43
Iceland,2015,Total,77.1
Iceland,2014,Total,74.79
Iceland,2013,Total,72.49
Iceland,2012,Total,70.26
Iceland,2011,Total,68.06
Iceland,2010,Total,65.87
Iceland,2009,Total,63.68
Iceland,2008,Total,61.5
Iceland,2007,Total,59.32
Iceland,2006,Total,57.16
Iceland,2005,Total,55.0
Iceland,2004,Total,52.85
Iceland,2003,Total,50.71
Iceland,2002,Total,48.57
Iceland,2001,Total,46.44
Iceland,2000,Total,44.32
India,2017,Rural,39.05
India,2016,Rural,36.64
India,2015,Rural,34.26
India,2014,Rural,31.89
India,2013,Rural,29.54
India,2012,Rural,27.21
India,2011,Rural,24.9
India,2010,Rural,22.61
India,2009,Rural,20.33
India,2008,Rural,18.07
India,2007,Rural,15.83
India,2006,Rural,13.61
India,2005,Rural,11.41
India,2004,Rural,9.24
India,2003,Rural,6.67
India,2002,Rural,4.15
India,2001,Rural,2.88
India,2000,Rural,1.63
Iraq,2017,Total,41.07
Iraq,2017,Urban,39.41
Iraq,2017,Rural,44.98
Iraq,2016,Total,40.38
Iraq,2016,Urban,38.78
Iraq,2016,Rural,44.12
Iraq,2015,Total,39.7
Iraq,2015,Urban,38.16
Iraq,2015,Rural,43.28
Iraq,2014,Total,39.02
Iraq,2014,Urban,37.53
Iraq,2014,Rural,42.44
Iraq,2013,Total,38.34
Iraq,2013,Urban,36.91
Iraq,2013,Rural,41.62
Iraq,2012,Total,37.67
Iraq,2012,Urban,36.29
Iraq,2012,Rural,40.8
Iraq,2011,Total,37.0
Iraq,2011,Urban,35.67
Iraq,2011,Rural,40.0
Iraq,2010,Total,36.34
Iraq,2010,Urban,35.06
Iraq,2010,Rural,39.21
Iraq,2009,Total,35.68
Iraq,2009,Urban,34.45
Iraq,2009,Rural,38.43
Iraq,2008,Total,35.03
Iraq,2008,Urban,33.84
Iraq,2008,Rural,37.66
Iraq,2007,Total,34.48
Iraq,2007,Urban,33.39
Iraq,2007,Rural,36.91
Iraq,2006,Total,33.94
Iraq,2006,Urban,32.93
Iraq,2006,Rural,36.17
Iraq,2005,Total,33.4
Iraq,2005,Urban,32.47
Iraq,2005,Rural,35.44
Iraq,2004,Total,32.85
Iraq,2004,Urban,32.01
Iraq,2004,Rural,34.71
Iraq,2003,Total,32.56
Iraq,2003,Urban,31.96
Iraq,2003,Rural,33.87
Iraq,2002,Total,32.26
Iraq,2002,Urban,31.91
Iraq,2002,Rural,33.03
Iraq,2001,Total,31.96
Iraq,2001,Urban,31.86
Iraq,2001,Rural,32.19
Iraq,2000,Total,31.66
Iraq,2000,Urban,31.81
Iraq,2000,Rural,31.35
Ireland,2017,Total,82.41
Ireland,2017,Urban,88.46
Ireland,2017,Rural,72.15
Ireland,2016,Total,82.3
Ireland,2016,Urban,88.34
Ireland,2016,Rural,72.12
Ireland,2015,Total,82.18
Ireland,2015,Urban,88.23
Ireland,2015,Rural,72.08
Ireland,2014,Total,80.46
Ireland,2014,Urban,85.86
Ireland,2014,Rural,71.51
Ireland,2013,Total,78.35
Ireland,2013,Urban,82.94
Ireland,2013,Rural,70.82
Ireland,2012,Total,76.26
Ireland,2012,Urban,80.01
Ireland,2012,Rural,70.14
Ireland,2011,Total,74.18
Ireland,2011,Urban,77.09
Ireland,2011,Rural,69.48
Ireland,2010,Total,72.11
Ireland,2010,Urban,74.17
Ireland,2010,Rural,68.83
Ireland,2009,Total,70.07
Ireland,2009,Urban,71.25
Ireland,2009,Rural,68.19
Ireland,2008,Total,68.03
Ireland,2008,Urban,68.33
Ireland,2008,Rural,67.57
Ireland,2007,Total,66.01
Ireland,2007,Urban,65.41
Ireland,2007,Rural,66.96
Ireland,2006,Total,64.01
Ireland,2006,Urban,62.49
Ireland,2006,Rural,66.37
Ireland,2005,Total,62.03
Ireland,2005,Urban,59.58
Ireland,2005,Rural,65.79
Ireland,2004,Total,60.07
Ireland,2004,Urban,56.66
Ireland,2004,Rural,65.22
Ireland,2003,Total,58.12
Ireland,2003,Urban,53.75
Ireland,2003,Rural,64.67
Ireland,2002,Total,56.2
Ireland,2002,Urban,50.84
Ireland,2002,Rural,64.13
Ireland,2001,Total,54.34
Ireland,2001,Urban,48.01
Ireland,2001,Rural,63.61
Ireland,2000,Total,52.5
Ireland,2000,Urban,45.18
Ireland,2000,Rural,63.1
Israel,2017,Total,93.67
Israel,2017,Urban,93.83
Israel,2017,Rural,91.78
Israel,2016,Total,92.83
Israel,2016,Urban,92.99
Israel,2016,Rural,90.97
Israel,2015,Total,91.99
Israel,2015,Urban,92.15
Israel,2015,Rural,90.15
Israel,2014,Total,91.15
Israel,2014,Urban,91.3
Israel,2014,Rural,89.34
Israel,2013,Total,90.31
Israel,2013,Urban,90.46
Israel,2013,Rural,88.53
Israel,2012,Total,89.47
Israel,2012,Urban,89.62
Israel,2012,Rural,87.71
Israel,2011,Total,88.63
Israel,2011,Urban,88.78
Israel,2011,Rural,86.9
Israel,2010,Total,87.78
Israel,2010,Urban,87.94
Israel,2010,Rural,86.09
Israel,2009,Total,86.94
Israel,2009,Urban,87.09
Israel,2009,Rural,85.27
Israel,2008,Total,86.1
Israel,2008,Urban,86.25
Israel,2008,Rural,84.46
Israel,2007,Total,85.26
Israel,2007,Urban,85.41
Israel,2007,Rural,83.65
Israel,2006,Total,84.42
Israel,2006,Urban,84.57
Israel,2006,Rural,82.83
Israel,2005,Total,83.58
Israel,2005,Urban,83.73
Israel,2005,Rural,82.02
Israel,2004,Total,82.74
Israel,2004,Urban,82.88
Israel,2004,Rural,81.2
Israel,2003,Total,81.9
Israel,2003,Urban,82.04
Israel,2003,Rural,80.39
Israel,2002,Total,81.06
Israel,2002,Urban,81.2
Israel,2002,Rural,79.58
Israel,2001,Total,80.22
Israel,2001,Urban,80.36
Israel,2001,Rural,78.76
Israel,2000,Total,79.38
Israel,2000,Urban,79.52
Israel,2000,Rural,77.95
Italy,2017,Total,96.21
Italy,2017,Urban,96.26
Italy,2017,Rural,96.09
Italy,2016,Total,96.2
Italy,2016,Urban,96.25
Italy,2016,Rural,96.08
Italy,2015,Total,96.2
Italy,2015,Urban,96.25
Italy,2015,Rural,96.08
Italy,2014,Total,96.19
Italy,2014,Urban,96.25
Italy,2014,Rural,96.08
Italy,2013,Total,96.19
Italy,2013,Urban,96.24
Italy,2013,Rural,96.07
Italy,2012,Total,96.18
Italy,2012,Urban,96.24
Italy,2012,Rural,96.07
Italy,2011,Total,96.18
Italy,2011,Urban,96.23
Italy,2011,Rural,96.06
Italy,2010,Total,96.17
Italy,2010,Urban,96.23
Italy,2010,Rural,96.06
Italy,2009,Total,96.17
Italy,2009,Urban,96.22
Italy,2009,Rural,96.05
Italy,2008,Total,96.17
Italy,2008,Urban,96.22
Italy,2008,Rural,96.05
Italy,2007,Total,96.16
Italy,2007,Urban,96.22
Italy,2007,Rural,96.05
Italy,2006,Total,96.16
Italy,2006,Urban,96.21
Italy,2006,Rural,96.04
Japan,2017,Total,98.76
Japan,2016,Total,98.8
Japan,2015,Total,98.83
Japan,2014,Total,98.86
Japan,2013,Total,98.83
Japan,2012,Total,98.77
Japan,2011,Total,98.71
Japan,2010,Total,98.65
Japan,2009,Total,98.58
Japan,2008,Total,98.51
Japan,2007,Total,98.43
Japan,2006,Total,98.35
Japan,2005,Total,98.21
Japan,2004,Total,98.06
Japan,2003,Total,97.9
Japan,2002,Total,97.74
Japan,2001,Total,97.56
Japan,2000,Total,97.38
Jordan,2017,Total,80.55
Jordan,2017,Urban,83.2
Jordan,2016,Total,80.48
Jordan,2016,Urban,83.23
Jordan,2015,Total,80.4
Jordan,2015,Urban,83.26
Jordan,2014,Total,80.32
Jordan,2014,Urban,83.29
Jordan,2013,Total,80.03
Jordan,2013,Urban,83.3
Jordan,2012,Total,79.72
Jordan,2012,Urban,83.32
Jordan,2011,Total,79.38
Jordan,2011,Urban,83.33
Jordan,2010,Total,79.0
Jordan,2010,Urban,83.34
Jordan,2009,Total,78.6
Jordan,2009,Urban,83.35
Jordan,2008,Total,78.16
Jordan,2008,Urban,83.37
Jordan,2007,Total,77.69
Jordan,2007,Urban,83.38
Jordan,2006,Total,77.18
Jordan,2006,Urban,83.39
Jordan,2005,Total,76.63
Jordan,2005,Urban,83.4
Jordan,2004,Total,76.18
Jordan,2004,Urban,83.42
Jordan,2003,Total,76.11
Jordan,2003,Urban,83.43
Jordan,2002,Total,76.04
Jordan,2002,Urban,83.44
Jordan,2001,Total,75.9
Jordan,2001,Urban,83.37
Jordan,2000,Total,75.9
Jordan,2000,Urban,83.35
Kazakhstan,2017,Urban,90.53
Kazakhstan,2016,Urban,90.69
Kazakhstan,2015,Urban,90.85
Kazakhstan,2014,Urban,91.01
Kazakhstan,2013,Urban,91.17
Kazakhstan,2012,Urban,91.33
Kazakhstan,2011,Urban,91.48
Kazakhstan,2010,Urban,91.64
Kazakhstan,2009,Urban,91.79
Kazakhstan,2008,Urban,91.94
Kazakhstan,2007,Urban,92.1
Kazakhstan,2006,Urban,92.25
Kazakhstan,2005,Urban,92.4
Kazakhstan,2004,Urban,92.55
Kazakhstan,2003,Urban,92.7
Kazakhstan,2002,Urban,92.86
Kazakhstan,2001,Urban,92.93
Kazakhstan,2000,Urban,92.82
Kuwait,2017,Total,100.0
Kuwait,2016,Total,100.0
Kuwait,2015,Total,100.0
Kuwait,2014,Total,100.0
Kuwait,2013,Total,100.0
Kuwait,2012,Total,100.0
Kuwait,2011,Total,100.0
Kuwait,2010,Total,100.0
Kuwait,2009,Total,100.0
Kuwait,2008,Total,100.0
Kuwait,2007,Total,100.0
Kuwait,2006,Total,100.0
Kuwait,2005,Total,100.0
Kuwait,2004,Total,100.0
Kuwait,2003,Total,100.0
Kuwait,2002,Total,100.0
Kuwait,2001,Total,100.0
Kuwait,2000,Total,100.0
Lao People's Democratic Republic,2017,Total,58.05
Lao People's Democratic Republic,2017,Urban,62.39
Lao People's Democratic Republic,2017,Rural,55.78
Lao People's Democratic Republic,2016,Total,56.15
Lao People's Democratic Republic,2016,Urban,61.4
Lao People's Democratic Republic,2016,Rural,53.48
Lao People's Democratic Republic,2015,Total,54.22
Lao People's Democratic Republic,2015,Urban,60.4
Lao People's Democratic Republic,2015,Rural,51.16
Lao People's Democratic Republic,2014,Total,52.28
Lao People's Democratic Republic,2014,Urban,59.41
Lao People's Democratic Republic,2014,Rural,48.84
Lao People's Democratic Republic,2013,Total,50.31
Lao People's Democratic Republic,2013,Urban,58.42
Lao People's Democratic Republic,2013,Rural,46.51
Lao People's Democratic Republic,2012,Total,48.32
Lao People's Democratic Republic,2012,Urban,57.44
Lao People's Democratic Republic,2012,Rural,44.17
Lao People's Democratic Republic,2011,Total,46.31
Lao People's Democratic Republic,2011,Urban,56.46
Lao People's Democratic Republic,2011,Rural,41.82
Lao People's Democratic Republic,2010,Total,44.28
Lao People's Democratic Republic,2010,Urban,55.48
Lao People's Democratic Republic,2010,Rural,39.46
Lao People's Democratic Republic,2009,Total,42.23
Lao People's Democratic Republic,2009,Urban,54.51
Lao People's Democratic Republic,2009,Rural,37.09
Lao People's Democratic Republic,2008,Total,40.15
Lao People's Democratic Republic,2008,Urban,53.54
Lao People's Democratic Republic,2008,Rural,34.71
Lao People's Democratic Republic,2007,Total,38.06
Lao People's Democratic Republic,2007,Urban,52.58
Lao People's Democratic Republic,2007,Rural,32.33
Lao People's Democratic Republic,2006,Total,35.95
